Comment,Designator,Footprint,LCSC
DOWNLOADER,U1,DOWNLOADER,
1uf,C3,C_0603_1608Metric,
1uf,C2,C_0603_1608Metric,
Conn_01x01_Socket,J8,CON_1X2,
Conn_01x01_Socket,J7,CON_1X2,
Conn_01x01_Socket,J6,CON_1X2,
Conn_01x01_Socket,J5,CON_1X2,
Conn_01x01_Socket,J4,CON_1X2,
Conn_01x01_Socket,J3,CON_1X2,
Conn_01x01_Socket,J2,CON_1X2,
Conn_01x01_Socket,J1,CON_1X2,
ME6211C33M5G-N,U3,SOT-23-5,
1uf,C1,C_0603_1608Metric,
10K,R1,R_0603_1608Metric,
10K,R3,R_0603_1608Metric,
ESP32-C3-MINI-1,U2,ESP32-C3-MINI-1,
10K,R2,R_0603_1608Metric,
