Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,C_0603_1608Metric,12.3,7.225,90.0,bottom
C2,1uf,C_0603_1608Metric,16.15,8.825,90.0,bottom
C3,1uf,C_0603_1608Metric,14.15,8.825,90.0,bottom
J1,Conn_01x01_Socket,CON_1X2,1.8,1.3,0.0,top
J2,Conn_01x01_Socket,CON_1X2,3.785714,1.3,0.0,top
J3,Conn_01x01_Socket,CON_1X2,5.7,1.3,0.0,top
J4,Conn_01x01_Socket,CON_1X2,7.8,1.3,0.0,top
J5,Conn_01x01_Socket,CON_1X2,9.8,1.3,0.0,top
J6,Conn_01x01_Socket,CON_1X2,11.72857,1.3,0.0,top
J7,Conn_01x01_Socket,CON_1X2,13.7,1.3,0.0,top
J8,Conn_01x01_Socket,CON_1X2,15.7,1.3,0.0,top
R1,10K,R_0603_1608Metric,10.75,7.225,270.0,bottom
R2,10K,R_0603_1608Metric,9.2,7.225,270.0,bottom
R3,10K,R_0603_1608Metric,15.1,11.9,90.0,bottom
U1,DOWNLOADER,DOWNLOADER,11.6,14.4,90.0,bottom
U2,ESP32-C3-MINI-1,ESP32-C3-MINI-1,8.75,10.125,90.0,top
U3,ME6211C33M5G-N,SOT-23-5,15.2,5.1625,90.0,bottom
